,Destination_link,Review,Sentiment Score
0,9376,Thank you for help making my honeymoon a memorable experience. Well done Travel Talk.,5
1,9376,Our guide really made the tour great. The destinations we visited were very interesting and educational. Overall was a great tour. Long drives but the perfect amount of stops on the way. Loved India,5
2,9376,"I really appreciate everything that Travel Talk has done to made my holiday as memorable, as can be. I will definitely make sure to book my next tour with Travel Talk again sincerely",5
3,9376,"Overall it was such a surreal and fun experience. The people who we met on the tour were amazing and the guide made the experience so much better than we ever thought it would be. This trip would be great for anyone who's sociable and likes to party...

            Show more",4
4,9376,I really enjoyed me tour it was excellent. I meet great people and learn so much. I would definitely recommend this to anyone and recommend Travel Talk. The guide was excellent and the bus drivers would be great. Also the Travel Talk were great.,5
5,9376,"Was one of the best tours I’ve ever joined. Thanks Travel Talk for the great service and amazing time spent on the tour. The tour was well organized, our tour leader Deve was very helpful and informative. All the hotels we stayed were 4 star and...

            Show more",4
6,9376,"So many wonderful places visited in 8 days , well organized , great and knowledgeable guides , good accommodation , India is amazing .",5
7,9376,"This was my first time traveling with Travel Talk. I absolutely loved this tour.  From the moment I landed in Delhi, everything was efficient and well planned. 
Transfers to and from the airport were included. The intinerary was jam packed, but always...

            Show more",5
8,9376,"The tour covers the basics but myself and friend Amanda took a private walking spice market tour the day we flew out. Was 4 hours long and was one of the better experiences of the trip. You can pick and choose what meals you want to or not want to eat...

            Show more",4
9,9376,"My Fiancé and I did the 8-day golden triangle tour which was a great way of seeing a lot in a relatively short space of time. We only had 5 people on our tour which was perfect for having company whilst not making it too difficult to make group...

            Show more",4
10,5505,"Ragu was one the best guides i ever had in all my tours. He gave great information and was very helpful in sorting out any extra needs you had. I would highly recommend this tour to anyone with limited time. Just plan at least one day in Delhi if you...

            Show more",5
11,5505,"GreT tour of a very small part of India! The tour and guide were great and we saw a lot. As a solo female traveler, I wanted to see the sights there, but was nervous. This is the only way I’d go there and it was perfect and I felt safe with the group.",5
12,5505,Great tour of a very small portion of India. Our guide Anu was awesome! I took a tour as a solo female traveler and was so glad I did. I wouldn’t have wanted to navigate all of that in my own and G Adventures took care of everything.,5
13,5505,I had a great experience. Overall enjoyed the tour and the tour guide. I wished the hotel selection could have been better. A couple hotels were not up to the standard that I hoped for as well as the group.,4
14,5505,"Jam packed days and nights experiencing the REAL INDIA , from the backstreets of Delhi to the mesmerising  Taj Mahal .

Abi , a wonderful story teller , took us back in time with his vast knowledge of local history and passion for his country .",5
15,5505,"An amazing journey that I thoroughly enjoyed on The Golden Triangle Tour. I loved learning about the culture and seeing such beautiful architecture and hearing the wonderful associated stories. The Kite festival was brilliant, our tour guide 'Manu' was...

            Show more",5
