,Destination_link,Review
0,188285,"Adham has been an extremely generous, patient and knowledgable guide. For my first Ciconia tour experience and guide, I couldn't have asked for a better time. Lovely group of people and a right laugh. Cheers."
1,188285,"Hotel and meals in Cairo were excellent. Guide was excellent. Loved his job and made us feel safe and his knowledge was fantastic. Thanks for making this trip so enjoyable. Egypt is a great destination with great sightseeing and highly recommend to my...

            Show more"
2,188285,"The cruise ship was 5 star an advertised the service was good. The drink selection really good. The first 2 nights at the Hyatt were really perfect. Guide Mustafa was excellent. He made the trip amazing and he is the best. Overall very happy and glad I...

            Show more"
3,188285,"Amazing tour especially due to Adham. His overall knowledge for the tour was exceptional. Adham has given outstanding service to our trip. Thank you Ciconia Travel for never forgettable trip. I would be recommend to loyal friend and anyone. Thank you so...

            Show more"
4,188285,"Our guide Sam made the tour extremely enjoyable. His knowledge, friendliness an experience never to be forgotten. Hotel in Cairo was very good. Nile cruise accommodations were very comfortable. Our guide and drivers were wonderful and the sites were...

            Show more"
5,188285,"Our experience was exceptionally great. The drivers were very safe and efficient and courteous to us. Our guide an arrival who very efficient and helpful. He is extremely knowledgeable and able to convey the information well. He was always considerate...

            Show more"
6,188285,"Mohammed, you made us feel safe, you cared about us. We felt your pride in your incredible country, thanks for creating an experience of a life time. Also our excurison to Alexandria was one of the best days, our guide was so professional with his...

            Show more"
7,188285,"Our tour guide Mohammad Shaarawy was outstanding!   The trip was everything we expected and more.  From being greeted the moment we arrived to putting us in a car to the airport… we felt safe and welcomed throughout our journey.   Everything was...

            Show more"
8,45555,"Timeless tours runs the Nile Adventure tour.  It is a small company run by Hany who answers all emails personally and promptly.  Hany has a great bunch of guides supporting him and I was fortunate to have Mena as my guide.
I am usually skeptical about...

            Show more"
9,45555,"Decent experience. Accommodation was poor for Cairo. The additional activities are over priced compared to competitors. Tour guide was okay, more could have been done to stop us getting harrased by people to purchase from there store. Very conservative...

            Show more"
10,45555,"The trip was amazing! Mina Nash, our guide, was well organized, apart from being kind, extremely helpful and good to be around. Something where he could improve even more is the amount of explanations he gave in the visits to the different temples and...

            Show more"
11,45555,"This has been one of my best travel trips. Firstly, my friends and I were lucky to have Ray as our tour guide. Ray was great and had a deep knowledge of the history and answered all questions. Highly recommend Ray!! 

Secondly, there were 13 people in...

            Show more"
12,45555,"The trip was amazing! The best thing we had was our guide Ray, he was fantastic and so knowledgeable. He made the group bonds together in no time and was so helpful on any request. We were so lucky we had the best tour guide!"
13,45555,"I truly enjoyed the experience, well organized. Very professional team! ( great customer service, responsiveBess and flexibility)"
14,45555,"Great experience with an amazing guide. Included a variety of interesting sites to visit all around egypt with efficient planning, and allowed us to unwind towards the end at Hurghada. Also included a variety of optional activities that were well...

            Show more"
15,45555,"Very fast-paced and early mornings. 
I agree with the 1-star review below but knew it would happen that someway or another, you'd be up-charged on certain things (i.e. the same sim card tactic was used for me - rushed out of the airport just to have...

            Show more"
16,45555,"From start to finish, the tour and guide have been fantastic! Massive thanks to Mina Nash, our tour guide for making it such a memorable experience. His knowledge of the history of each place we were taken too was impeccable! Super impressive! 
As for...

            Show more"
17,45555,"Tudo correu muito bem. Nosso roteiro teve mudanças para melhor, como voo interno e cruzeiro. Nossa guia Nevine foi excelente. Tenha em mente que tem bastante tempo de deslocamentos, mas ainda assim vale muito."
18,45554,"I just got back from this tour and what a great experience it was!! From the very first day, our guide, Mina Nash, made sure to explain everything to us about optional excursions, currency, the itinerary, and address any concerns we had. He truly made...

            Show more"
19,45554,"Trip of a lifetime. The pyramids are incredible, the Valley of the Kings is breathtaking, and the felucca is wonderful (and much more comfortable than I anticipated!). 
Mina Nash was our guide and he is fantastic. He’s fun, informative, and patient,...

            Show more"
20,45554,"Very happy with this tour. We had Mina Nash as our guide who was excellent. He took great care of our small group of 14 and gave us lots of information. This tour was great value for money compared to other companies, and considering the price the hotel...

            Show more"
21,45554,Mina Nash was our guide. Very helpful and nice and plans out everything well. It was a very fun tour!
22,45554,"This was our first group tour so we did not know what to expect. My husband and I were celebrating our anniversary and decided to do the Egypt Explorer tour. The tour is very fast paced and not for the sedentary. We got to see all the highlights of...

            Show more"
23,45554,"Excellent tour, make sure you have Mina as your tour guide. Mina was exceptional with his knowledge regards to the history and importance of all the places visited. Also, we didn't miss on any items listed on the tour itinerary. Mina had the best...

            Show more"
24,45554,"I enjoyed the tour as a whole. The group we had were incredible! Such a good group of people. The sites were amazing. The downsides I experienced and are giving feedback for mainly concern George the tour guide. To start with he was late to the meet up...

            Show more"
25,45554,"If you want to see everything Egypt had to offer in a short timeframe, this tour is perfect. It is very full on, don’t expect much downtime until hurghada. You will have long days but will see everything. Our group had a lot of confusion with what was...

            Show more"
26,45554,"Our tour was absolutely amazing! Our tour guide, George Basher, was so professional, knowledgeable, fun and super organized and timely. I would recommend this to anybody wanting to explore Egypt while enjoying all the history and culture but also...

            Show more"
27,45554,"Overall the tour was very good! Our tour guide Mina Nash was fantastic. He was incredibly knowledgeable, organised and super fun. 

The tour was good, but incredibly fast paced. The food was not great and was mainly hotel buffets. 

The sites were...

            Show more"
28,2349,"I liked Mo a lot, and his talks at the sites and on the bus were both interesting and balanced in content and in length.  I know that a lot of tourists don't really care for any in-depth discussion of what they are seeing, but Mo was able to answer many...

            Show more"
29,2349,"Egypt is amazing, but best of all was Mo Fahrid as our guide. His skill at negotiating and managing all aspects of the tour was superb. Watching other guides at the Cairo Museum made me value his expert knowledge even more! Any possible contingency was...

            Show more"
30,2349,"This tour of Egypt is exceptional and thoroughly enjoyable. The country is both complex and stunning, and this tour enables you to fully experience its beauty. Your guide, Sam (Sameh), may be the finest in the world and is truly passionate about his...

            Show more"
31,2349,Mo was an excellent guide on our tour. His deep knowledge of Egypt was illuminating and deepen my knowledge of the history and culture. He was also very accommodating to our needs.
32,2349,We thoroughly enjoyed our journey. Tourguide was fantastic. Smooth process from beginning to end. We cannot wait to book our next tour!
33,2349,"The sites were fantastic no doubt there. Had a blast but I was being mislead on pricing from Travel Talk and also the Hot Air Ballon Company, paid $35 extra from the revised price which was already $30 extra due to increases.

I wanted to go elsewhere...

            Show more"
34,2349,"Oasis Hotel Cairo was below par as wifi was not working.
Itinerary on many days meant we could not have lunch until 4:00pm or later.  Often there was little or no choice on lunch or dinner venues.
Seat belts on all buses were deliberately jammed between...

            Show more"
35,2349,"MOSTAFA IS THE BEST!!!! we had such a fun time on the Felucca Egypt tour. Mostafa was so funny patient and made the trip so easy for us. He had magic pills for when I got the Egypt belly and we learnt so many facts. Highly recommend everyone to do this...

            Show more"
36,2349,"I had a wonderful experience: thanks to Mo, our tour guide, I enjoyed the trip so much :) He's very knowledgeable, so passionate about ancient Egypt and he was always keen on letting us having our best time!"
37,2349,"I had the BEST time! We saw the most amazing sites, our tour guide was so knowledgeable and funny, and the best part (for me, at least) was that it was actually surprisingly easy to find gluten free foods. Being able to enjoy a vacation with friends and...

            Show more"
38,128439,Great experience to learn ancient Egyptian history and culture!
39,128439,Good accommodations and guides.
40,128439,"Be careful. We paid Marrakech to Cairo flight money to VTG 6 to 7 weeks in advance when we booked the tour. 10 days before the travel starts, they notified us that they booked and cofirmed everything except Marrakech to Cairo flight for which they will...

            Show more"
41,128439,"We had a great trip. Our coordinator in Cairo, Michael , was extremely helpful and very kind. Our guides, Max in Cairo and Mansour in Aswan and Luxor were both extremely knowledgeable and professional. They made the trip really fascinating"
42,128439,"February 2023 Touradar Jewells of the Nile

To start I have to say that all the arrangements were slick and to plan. Outgoing flight to Cairo went without a hitch although it was a late arrival at the hotel (midnight) Throughout this expedition my...

            Show more"
43,128439,"We had a very good experience with tour radar and vacations to go. Everything runs smoothly from the airport transfers to the tours and even to the cancelled hot air balloon ( we got refund). Michael, Max, Ayman and Michelle are all superb taking care...

            Show more"
44,128439,"Hassan Ashour was our guide for a majority of the tour and he was amazing. I can't imagine going to Egypt without him or the tour. Amazing cruise and extremely knowledgeable and friendly, thank you Hassan!"
45,128439,"This was a such an amazing tour! It really made our trip to Egypt so much better. We were unsure if we should travel on our own or choose a tour, but were SO happy we went with a tour! It took the stress out of travel planning and your guides were...

            Show more"
46,128439,"Guides were excellent.  We also thought accommodation was good with comfortable beds and quiet rooms.  We wish we would have been told to bring our daughters student card as that would have cut her entrance fees in half.  We recommend that you tell...

            Show more"
47,128439,"Overall experience was good, even though I was templed out going to different temples, I believe they should take us to Coptic church and the mosque one visit as the visit/ tour are shorter and May be the day could be filled with a different activity....

            Show more"
48,111022,"Awesome experience. Really smooth from start to finish. Everything was taken care of. Our Tour leader Ahmed was awesome 👌 

Wish we could have longer at sites. Our tour guide although informative, didnt leave us much time to explore on our own, so we...

            Show more"
49,111022,"Excellent Experience- outstanding customer service 

* This trip has exceeded all our expectations! I would recommend to anyone I know bearing in mind we read all the previous negative reviews and were very anxious before going.We are a well travelled...

            Show more"
50,111022,"Tour was great , thank you to Ahmad F for great organisation.
1. Pick up from airport was easy and quick. ( quick recommend to get SIM card for phone we got Vodafone and coverage was great trough all trip)
2. We stayed in Golden Tolip Plaza hotel over...

            Show more"
51,111022,I have a list of complaints to many to mention here please email me with a customer service representative thanks
52,111022,"Amazing place. Accommodation good, food good, overnight train was poor. We suggest flying. Organisation was not so good because of the lack of communication. We sometimes spent time waiting unnecessarily and were rushed at other times when we felt we...

            Show more"
53,111022,"I've travelled to all 7 continents including Antarctica.  This is by far the worst travel experience I had.  
At this price range, I did not expect everything to be perfect but I did expect safety and hospitality.  This tour group failed at both.  It's...

            Show more"
54,111022,"Great Tour.  Great Group. My tour guide was excellent. I felt I was in an ancient Egypt college course.  Without him explaining everything and giving us all the background history and modern theories on how it all came about. It would have been just a...

            Show more"
55,111022,"Absolutely wonderful trip. The guides were amazing - knowledgeable about the history but also helpful in understanding what to expect with current Egyptian culture. I always felt like our group had better guides than other tourists we saw there. Do as...

            Show more"
56,111022,"The tour was not just enjoyable, well organised and value for money, but the excellent knowledge of our guide and his friendly interaction with the group made the whole experience very memorable."
57,111022,"We had a great week exploring Egypt.  Ahmed the Egyptionologist was very knowledgable.  The overnight train from Cairo to Luxor was an experience.  My friend and I made the best of it and enjoyed it. Our cruise boat (Chateau Laffayette) was nice and...

            Show more"
58,132323,"Visiting Egypt was a great experience for me and my wife.
The tour organization from arriving in Cairo airport to departing from it at the end was exceptional and everything was on time without any snag or delay. Our accommodation was very comfortable...

            Show more"
59,132323,"The tour was very great fun. The guides were knowledgeable, friendly and accommodating. The transportation was very efficient. The accommodations and food were excellent. The boat portion of the tour was relaxing and very enjoyable.
And of course Egypt...

            Show more"
60,132323,"This tour is highly recommendable for those who are not interested in  discovering the historical aspects of Egypt , without stopping over in resorts of red sea  
It encompasses quick visit of Cairo ( museum and Coptic quarter ) - without old Muslim...

            Show more"
61,132323,"Our flight to Luxor was so early in the morning! Upon arrival we did not have time on the boat before touring Luxor to regroup and to catch up on the very early morning as outlined in the brochure. Consequently I dragged around the pyramid tour. What a...

            Show more"
62,132323,excellent tour with lots to see and things to do. great transportation and hotels
63,132323,"I just completed my tour and it was a wonderful experience! The tour owner met with me the first night to explain everything and make sure I was comfortable. All transportation, accomodations for hotel and cruise line, airline pickups and drop offs and...

            Show more"
64,132323,"On the Nile Cruise Ship we were allocated on room 316 which is terribly polluted horrid petrol  exhaustion and horrible generator noice all the time.
We were lucky to change room because a French Family cancelled their booking however the first night we...

            Show more"
65,132323,"The tour covers  Egypt’s major historical sites from North to South. One learns a lot with an  excellent guide, in our case Mamdouh is exceptional."
66,132323,"I had an amazing vacation in Egypt with TouRadar.  Tour guides were outstanding in knowledge,  very friendly and flexible.  Super hotel in Cairo, nice cabin on the Nile course.  Very testy and great quality of foods.  I highly recommend this travel...

            Show more"
67,132323,"Highly recommended . All the arrangements are excellent . Mr. Ahmed spared no expense in flights and buses and cruise ship five stars. Our Guide Mr. Mamdouh is very knowledgeable and friendly and hard working . He made the trip a once in a lifetime...

            Show more"
68,129495,"We were not allowed to leave Cairo airport. Michael, our guide, was wonderful but was unable to explain to Tourism Police @ airport why my husband’s passport had been invalidated by Lon/Heathrow airport agent. Tourism Police had us put on British Air...

            Show more"
69,129495,"Just book it , the tour was absolutely fantastic ."
70,129495,"It was excellent, the Nile cruise was a highlight. Iyman and Maged were excellent guides."
71,129495,Fabulous experience. The tour was well organised and Micheal and our guides were wonderful. Can’t fault the tour.
72,129495,An excellent tour for families and for those wishing to explore Egyptian wonders.
73,129495,Our tour guide would be more effective with a light pointer. Would have been great to have a heads up on the timing of events. (Up early in the morning each day). Excellent tour and excellent guide and bus driver. Nice hotels.
74,129495,"This was an excellent tour, hitting all of the highlights we wanted to see.  Our Egyptologist tour guide, Tamer, was amazing.  He was incredibly knowledgeable and personable as well as kind and understanding of our 14 person family group representing...

            Show more"
75,129495,"The tool was extremely well arranged. The hotels in accommodations, transportation and mostly the two guys were awesome. All of them are knowledgeable and very friendly. Michael was on time and managed picking us up and dropping to the airports on time....

            Show more"
76,129495,A great tour of a magic country. The cruise on La Traviata was really great. Max (Maged) and Iyman were excellent guides and Michael an excellent coordinator.
77,129495,"Excellent guides with a wealth of knowledge, made better that there was only to 2 of us for most of the time especially being able to go through the museum at our own pace. Couldn’t fault accomodation or food, though would suggest going only I way on...

            Show more"
