,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
0,In-depth Cultural,Essential India," New Delhi, Jaipur, Fatehpur Sikri, Agra ", 18 to 50 ,"Group, Fully Guided, Explorer, Coach / Bus+2 more",Travel Talk,8 days,754,9376
1,In-depth Cultural,Golden Triangle," New Delhi, Agra, Bharatpur, Jaipur ", 12 to 90 ,"Family, Group, Fully Guided, Christmas & New Year+2 more",G Adventures,8 days,679,5505
2,Active Adventure,Taj Mahal and Wildlife with Royal Stay at Castles," New Delhi, Jaipur, Jodhpur, Luni, Sardargarh, Udaipur, Pushkar, Ranthambore National Park, Agra, Taj Mahal+3 more", 18 to 85 ,"Safari, Wildlife, Private, Group, Fully Guided, Christmas & New Year+3 more",Swastik India Journeys,11 days,710,91447
3,Explorer,India's Top Selling Golden Triangle India Tour w/ Meals and Sunrise Taj Mahal," New Delhi, Agra, Taj Mahal, Jaipur ", 5 to 99 ,"Family, Private, Partially Guided, Historical, Christmas & New Year+3 more",Swastik India Journeys,5 days,205,88881
4,In-depth Cultural,"India's Bestseller - 5 Day Golden Triangle - Delhi, Agra & Jaipur (Guaranteed Departure)"," New Delhi, Agra, Jaipur ", 15 to 80 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",K K Holidays N Vacations ,5 days,419,110498
5,In-depth Cultural,Golden Triangle Tour with Varanasi," New Delhi, Jaipur, Agra, Varanasi ", 2 to 85 ,"Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",World Travel Experiences,8 days,595,113375
6,In-depth Cultural,Explore Golden Triangle," New Delhi, Agra, Taj Mahal, Fatehpur Sikri, Abhaneri, Jaipur ", 1 to 95 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Yolo India Tours,6 days,270,98622
7,Explorer,Golden Triangle Tour With Ranthambore," New Delhi, Jaipur, Ranthambore National Park, Agra ", 2 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",World Travel Experiences,8 days,675,116073
8,In-depth Cultural,Rajasthan and Varanasi: Bike Tours & the Taj Mahal," New Delhi, Jaisalmer, Jodhpur, Udaipur, Pushkar, Jaipur, Agra, Varanasi ", 18 to 39 ,"Active Adventure, Group, Fully Guided+1 more",G Adventures,20 days,934,5518
9,In-depth Cultural,Golden Triangle Tour - 3 Days," New Delhi, Agra, Jaipur ", 1 to 99 ,"Family, Custom, Private, Fully Guided, Christmas & New Year+2 more",Taj Destination Tours ,3 days,248,127990
10,In-depth Cultural,Indian Getaway," New Delhi, Varanasi, Agra, Jaipur ", 15 to 99 ,"Active Adventure, Family, Group, Fully Guided, Christmas & New Year+2 more",Intrepid Travel,11 days,602,62422
11,In-depth Cultural,Classic Rajasthan," New Delhi, Agra, Jaipur, Ranthambhore National Park, Bundi, Udaipur, Pushkar ", 15 to 99 ,"Active Adventure, Family, Group, Fully Guided, Christmas & New Year+2 more",Intrepid Travel,15 days,"1,298",1780
12,Active Adventure,In The Land Of Lama - The Great Ladakh Tour (All Inclusive with Flight)," New Delhi, Leh, Nubra Valley, Pangong Tso Lake ", 5 to 90 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",MTA Destination Experts,10 days,980,193290
