,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
0,Active Adventure,"Hunza Valley & Fairy Meadows Tour, Gilgit Baltistan, Pakistan"," Islamabad, Chilas, Fairy Meadows, Hunza Valley, Gilgit ", 5 to 80 ,"Family, Jeep & 4WD, Private, Group, Partially Guided, Explorer, Christmas & New Year+5 more",Crossroads Adventure ,10 days,"1,950",117672
1,In-depth Cultural,"Autumn Tour to Pakistan (Islamabad, Gilgit, Baltistan, Skardu, Hunza, Nager, Fairy meadows, Gojal alley)"," Islamabad, Skardu, Khaplu, Gilgit, Hunza Valley, Gulmit ", 5 to 80 ,"Family, Private, Fully Guided, Explorer+2 more",Crossroads Adventure ,10 days,"2,300",117669
2,Explorer,Explore Hunza Valley Pakistan 2022-23," Islamabad, Gilgit, Hunza Valley ", 18 to 80 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Exploria,6 days,999,225218
3,Explorer,Untouched Valley (Ghizer) in Hindu Kush mountains Northern Pakistan 2022-23," Islamabad, Gilgit, Phander ", 12 to 70 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Exploria,9 days,"1,550",233081
4,In-depth Cultural,"07 Days Islamabad, Besham, Gilgit, Hunza Karimabad, Passu, Khunjerab Pass Tour"," Islamabad, Besham City, Gilgit, Hunza Valley ", 12 to 85 ,"Private, Group, Partially Guided+1 more",Rock Valley Tours Pvt Ltd,7 days,"1,600",190893
5,In-depth Cultural,Pakistan World Heritage Trip - 15 Days," Karachi, Hyderabad, Larkana, Sukkur, Bahawalpur, Multan, Lahore, Islamabad, Peshawar+1 more", 2 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Agate Travel,15 days,"5,179",218394
6,In-depth Cultural,Hunza Cultural Tour- Colors of Hunza," Islamabad, Gilgit, Hunza Valley, Pasu, Karimabad, Minapin ", 16 to 70 ,"Private, Group, Fully Guided+1 more",Beyond the Valley ,9 days,"1,759",238844
7,Hiking & Trekking,11 Days Trek  Nanga Parbat Base Camp & Hunza Gojal Valley Pakistan," Islamabad, Naran, Besham City, Chilas, Fairy Meadows, Hunza Valley, Gulmit, Sost ", 18 to 60 ,"Private, Group, Partially Guided+1 more",Rock Valley Tours Pvt Ltd,11 days,"1,300",188575
8,Hiking & Trekking,Trek Pakistan's Karakoram Mountains," Islamabad, Skardu, Khaplu, Shigar ", 18 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,10 days,"2,926",241779
9,Active Adventure,A Walk Among Giants (Thallay La Trek)," Islamabad, Khaplu, Skardu, Shigar ", 16 to 70 ,"Private, Group, Fully Guided+1 more",Beyond the Valley ,11 days,"1,785",238981
10,Active Adventure,Cherry Blossom Tour in Hunza Valley - 11 Days," Islamabad, Chilas, Karimabad, Taxila ", 2 to 80 ,"Family, Private, Fully Guided+1 more",Agate Travel,11 days,"3,049",218393
11,Explorer,Pakistan's Karakoram Highway," Islamabad, Skardu, Shigar, Khaplu, Tarashing, Gilgit, Karimabad, Hunza Valley, Fairy Meadows, Naran+2 more", 16 to 85 ,"Group, Fully Guided, Hiking & Trekking+1 more",Explore!,14 days,"4,320",221911
12,Active Adventure,Pakistan Tuk Tuk Amazon," Islamabad, Chilas, Gilgit, Sost, Hunza Valley ", 18 to 65 ,"Group, Partially Guided",Large Minority,10 days,"2,175",205941
13,In-depth Cultural,"Karakoram Highway and Hunza Shangri-La, Pakistan"," Islamabad, Besham City, Chilas, Hunza Valley, Gilgit, Gulmit, Skardu, Khaplu ", 18 to 80 ,"Private, Group, Fully Guided, Coach / Bus, Historical+3 more",Penguin Travel,11 days,"1,161",107218
14,Overland Truck,Pakistan Karakoram Highway Group Overland Tour," Lahore, Rawalpindi, Naran, Fairy Meadows, Skardu, Gilgit, Karimabad, Sost, Chilas, Islamabad+1 more", 18 to 80 ,"Group, Partially Guided",Madventure,19 days,"2,149",198270
15,In-depth Cultural,"Exciting Tour to Rama Meadows , Fairy Meadows, Rama meadows, Gilgit Baltistan, Pakistan"," Islamabad, Fairy Meadows, Hunza Valley, Gulmit, Gilgit ", 5 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Crossroads Adventure ,12 days,"2,200",117670
16,Explorer,Essential Skardu Valley Pakistan Complete Tour 2022-23," Islamabad, Shigar, Deosai National Park, Khaplu, Skardu ", 12 to 70 ,"Private, Fully Guided, Christmas & New Year+1 more",Exploria,5 days,999,225006
17,Hiking & Trekking,Rakaposhi & Nanga Parbat Base Camp Trekking," Islamabad, Gilgit, Fairy Meadows, Hunza Valley ", 20 to 80 ,"Active Adventure, Mountain Hikes, Private, Fully Guided, Explorer, Christmas & New Year+4 more",Crossroads Adventure ,6 days,"1,490",133698
18,Explorer,PAKISTAN PHOTOGRAPHY TOUR," Islamabad, Naran, Chilas, Gilgit, Phander, Hunza Valley, Sost ", 10 to 70 ,"Family, Photography, Private, Partially Guided, Christmas & New Year+3 more",Crossroads Adventure ,10 days,"2,350",168399
19,Active Adventure,"Baltistan, Deosai and Hunza Valley Tour"," Islamabad, Skardu, Shigar, Gilgit, Hunza Valley, Gulmit, Ghulkin, Besham City ", 15 to 75 ,"Private, Fully Guided, Christmas & New Year+1 more",Crossroads Adventure ,10 days,"1,700",189811
20,Festival & Events,Shandur Polo Festival Pakistan & Hunza Valley Tour | 2022-23 | Exploria," Islamabad, Naran, Gilgit, Hunza Valley, Shandur National Park ", 10 to 70 ,"Family, Private, Group, Fully Guided+1 more",Exploria,10 days,"1,200",225573
21,Active Adventure,"Baltistan Pakistan (Skardu, Shigar, Khaplu) Autumn Tour"," Islamabad, Chilas, Skardu, Khaplu, Shigar ", 10 to 80 ,"Family, Private, Fully Guided+1 more",Crossroads Adventure ,7 days,"1,650",162898
22,Explorer,Explore Northern Pakistan - Hunza & Skardu," Islamabad, Skardu, Shigar, Hunza Valley, Gilgit ", 10 to 70 ,,Exploria,11 days,"1,800",234661
23,Explorer,Hunza Experiencial Tour and Rakaposhi Base Camp trek," Islamabad, Gilgit, Karimabad, Hunza Valley, Gulmit ", 15 to 60 ,,Exploria,9 days,"1,500",239710
24,Hiking & Trekking,"Fairy Meadows & Nanga Parbat BaseCamp Tour, Gilgit Baltistan - 2023"," Islamabad, Chilas, Fairy Meadows, Naran ", 15 to 65 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Exploria,7 days,"1,400",233004
25,Festival & Events,Chilam Joshi Festival in Chitral Pakistan," Islamabad, Chitral, Phander, Hunza Valley, Besham City ", 10 to 70 ,"Family, Private, Group, Fully Guided+1 more",Crossroads Adventure ,13 days,"2,390",204218
26,Bicycle,Karakoram Cycle Tour - Northern Pakistan," Islamabad, Chilas, Gilgit, Hunza Valley, Gulmit, Sost, Karimabad ", 15 to 60 ,"Private, Group, Fully Guided+1 more",Exploria,15 days,"2,400",234869
27,Hiking & Trekking,Patundas Trek Hunza 2023/24 By Exploria," Islamabad, Chilas, Naran, Hunza Valley, Gulmit ", 15 to 60 ,"Private, Group, Fully Guided+1 more",Exploria,13 days,"1,900",237604
28,Explorer,Hunza Valley and Nanga Parbat Base Camp Trek," Islamabad, Chilas, Fairy Meadows, Hunza Valley ", 12 to 70 ,"Private, Group, Fully Guided+1 more",Exploria,10 days,"2,000",239182
29,Active Adventure,Northern Pakistan: Hindu Kush Adventure," Islamabad, Chitral, Phander, Gilgit, Hunza Valley, Naran, Taxila ", 18 to 60 ,"Private, Group, Fully Guided+1 more",Exploria,15 days,"4,000",230711
30,Hiking & Trekking,K2 Base Camp Trek & Gondogoro La Pakistan – 2023," Islamabad, Skardu, Askole ", 18 to 50 ,"Private, Group, Fully Guided+1 more",Exploria,20 days,"2,800",214156
31,Hiking & Trekking,12 days Pakistan Trekking Expedition (Nanga parbat & Rakaposhi base camp trekking)," Islamabad, Chilas, Fairy Meadows, Nagar Khas, Hunza Valley, Besham City ", 15 to 75 ,"Mountain Hikes, Private, Group, Fully Guided, Christmas & New Year+3 more",Crossroads Adventure ,12 days,"1,790",203630
32,Explorer,Essential Skardu Valley Pakistan Tour - All Inclusive," Islamabad, Skardu, Shigar, Khaplu ", 10 to 60 ,"Family, Private, Group, Fully Guided+1 more",Exploria,4 days,800,214883
33,In-depth Cultural,"07 Days Cultural trip Lahore, Swat, Peshawar Valley Pakistan"," Lahore, Peshawar, Islamabad ", 12 to 80 ,"Private, Partially Guided, Christmas & New Year+1 more",Rock Valley Tours Pvt Ltd,7 days,"1,300",189506
34,Active Adventure,Hunza Valley and Fairy Meadows Pakistan Autumn Tour 2022-23," Islamabad, Gilgit, Fairy Meadows, Hunza Valley ", 10 to 70 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Exploria,10 days,"1,900",184791
35,Hiking & Trekking,"10 Days Experience Pakistan,s highest Rusk Lake Trek"," Islamabad, Hunza Valley, Nagar Khas ", 18 to 55 ,"Private, Group, Partially Guided+1 more",Rock Valley Tours Pvt Ltd,10 days,"1,500",182054
36,Active Adventure,Hunza Valley and Fairy Meadows Pakistan tour 2022-23, Islamabad , 15 to 80 ,"Private, Fully Guided, Sightseeing, Christmas & New Year+2 more",Exploria,9 days,"1,850",140701
37,In-depth Cultural,Mughal and Colonial Heritage Pakistan Tour," Islamabad, Taxila, Lahore, Multan, Bahawalpur ", 10 to 80 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Crossroads Adventure ,10 days,"2,700",218345
38,In-depth Cultural,Gandhara Civilization Tour - 8 Days," Lahore, Wagah, Islamabad, Peshawar, Taxila, Rawalpindi ", 2 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Agate Travel,8 days,"2,729",218392
39,Active Adventure,15 Days Yak Safari Tour to Shimshal Pass," Islamabad, Naran, Hunza Valley, Shimshal ", 18 to 50 ,"Mountain Hikes, Group, Partially Guided, Explorer, Hiking & Trekking+3 more",Rock Valley Tours Pvt Ltd,15 days,"2,600",146666
40,In-depth Cultural,Architectural Art of Pakistan - 10 Days," Lahore, Islamabad, Taxila, Rawalpindi, Peshawar ", 2 to 80 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Agate Travel,10 days,"3,119",218423
41,Explorer,15 Days Jeep Safari Baltistan & Hunza Gojal Pakistan," Islamabad, Chilas, Skardu, Gilgit, Hunza Valley, Naran ", 12 to 75 ,"Jeep & 4WD, Private, Group, Fully Guided, Christmas & New Year+2 more",Rock Valley Tours Pvt Ltd,15 days,"1,500",190909
42,In-depth Cultural,08 Days Overland Tour Hunza Gojal Valley Gilgit Pakistan," Islamabad, Besham City, Naran, Hunza Valley, Gulmit ", 18 to 80 ,"Private, Fully Guided",Rock Valley Tours Pvt Ltd,8 days,"1,000",188512
43,Explorer,Hunza and skardu overland Tour," Islamabad, Naran, Hunza Valley, Gulmit, Sost, Gilgit, Skardu, Deosai National Park, Khaplu+2 more", 12 to 60 ,"Private, Group, Fully Guided+1 more",Exploria,13 days,"2,000",239212
44,Active Adventure,Backpackers tour to Northern Pakistan," Islamabad, Naran, Gilgit, Karimabad, Hunza Valley, Gulmit, Sost, Fairy Meadows, Skardu, Shigar, Khaplu, Phander, Chitral+5 more", 18 to 50 ,"Private, Group, Fully Guided+1 more",Exploria,20 days,"2,200",239749
45,Explorer,Short Tour  Showcasing Tour Pakistan," Hunza Valley, Islamabad ", 19 to 80 ,"Private, Fully Guided",Rock Valley Tours Pvt Ltd,8 days,400,205218
46,In-depth Cultural,The Mountain Call- Baltistan Cultural Tour," Islamabad, Khaplu, Skardu, Shigar, Deosai National Park ", 16 to 70 ,"Private, Group, Fully Guided+1 more",Beyond the Valley ,9 days,"2,014",238869
47,Explorer,"15 Days North Pakistan Tour  Chitral, Hunza Shimshal Naltar2021"," Islamabad, Chitral, Mastuj, Shandur National Park, Gilgit, Hunza Valley, Shimshal, Naran+2 more", 12 to 80 ,"Private, Group, Partially Guided+1 more",Rock Valley Tours Pvt Ltd,15 days,"2,300",189940
48,In-depth Cultural,"Hunza Cherry Blossom Tour, Gilgit Baltistan, Pakistan"," Islamabad, Chilas, Gilgit, Hunza Valley, Sost ", 5 to 80 ,"Family, Private, Partially Guided+1 more",Crossroads Adventure ,8 days,"2,200",119027
49,Explorer,Murree and Kashmir valley Pakistan Luxury tour 2022- 23," Islamabad, Murree ", 10 to 80 ,"Private, Group, Partially Guided, Christmas & New Year+2 more",Exploria,4 days,"1,200",233008
50,Active Adventure,The Yosemite of Pakistan (Nagma Valley Trek)," Islamabad, Skardu, Khaplu, Shigar ", 16 to 70 ,"Private, Group, Fully Guided+1 more",Beyond the Valley ,10 days,"1,699",238874
51,Active Adventure,The Grand Traverse of Baltistan," Islamabad, Skardu, Khaplu, Shigar ", 16 to 70 ,"Private, Group, Fully Guided+1 more",Beyond the Valley ,15 days,"2,400",238986
52,Active Adventure,The Queen of Karakoram (K1 Basecamp Trek)," Islamabad, Skardu, Hushe ", 16 to 60 ,"Private, Group, Fully Guided+1 more",Beyond the Valley ,11 days,"1,773",239025
