,Destination_link,Review,Sentiment Score
222,158815,"I agree with previous reviews:  Swastik must provide the following: 
airport pickup arrival details, driver information, hotel confirmations, tour specifics, entrance fees, suggested tips….  None of this was provided and I had a disastrous 4am. arrival...

            Show more",1
275,136983,"An incredible trip - shame it was only 8 days!  

Communication pre trip was good, all details were sent through ahead of time and all questions were replied to very quickly. On arrival at the airport we were met by a driver and Aahil (tour manager)...

            Show more",1
376,111427,I like whole experience but Jaipur. Elephant village is unsafe people put pressure you and scam you. Would not recommend to anyone. Don’t go there,1
675,80984,"The tour has many extra payments that you are originally not made aware of. Absolutely no tickets are included, and you have to tip every guide/driver you have, including tipping for rickshaw/elephant ride which the tour stated the price is included....

            Show more",1
680,80984,"The guide us Delhi was horrible.  His facts were inaccurate and he misrepresented that we were to visit a craft market and workshop - and we went to a private business.   We only drove by half the items on agenda. 

 The drive for the week was...

            Show more",1
795,145541,"The hotels were disgraceful. Then to upgrade l had to pay an extra $750+ AUD. Having to pay admission at every attraction was annoying and time consuming. Did not do several activities on the itinery. Getting dropped off at attractions and expected to...

            Show more",1
948,194088,"Tour id : 764115-VCWHV. There were many big , small  issues BEFORE the tour begun. we will write one by one  but this one was utterly irresponsible and it happened on our last 8th days tour that Mr Hemendez Singh ( the manager of the tour operator in...

            Show more",1
1205,1786,"Tour leader Yaddu was burned out and checked out. He did the bare minimum and anytime there was an offer to contact him or answer ask questions it was out of obligation. On days where we didn’t have activities planned he suggested two things, didn’t...

            Show more",1
1206,1786,Orangised company,1
1297,76490,No comment!!!!!!!!!!!!!!!!!!!,1
1301,76490,"Would not recommend this at all. It turned out to be just a driver and some booked hotels. The entrances included cost next to nothing anyway. After speaking to other people on different tours felt really cheated and totally ripped off. Either spend...

            Show more",1
1556,102959,"No entertainment provided at pachewar fort really dissappointed 
Agra amazing
Good range of hotels
Taj villa beautiful but really noisy couldn't sleep",1
1893,226321,"The driver did not know the itinerary and the place of the trip, car without GPS. Driver without manners and poor English...not recommandable for this price!",1
1967,136331,"Our Itenary said we were going to the Taj Mahal at dawn ,when we arrived in Agra on Thursday morning we were told it was closed on Fridays,no one told us this before hand.Our guide wanted to take us there in the middle of the day ,it was 45 degrees I...

            Show more",1
2005,108085,"Goa, the part of the trip we were looking forward to the most was a total disaster.  They booked us in some hotel so far away from everything that drivers didn't even know where it was. No pool, no restaurant - nothing.  They admitted that they could...

            Show more",1
2046,24062,"Very Disappointed!! First - most hotels were either at bad area or remote locations. Aggressive tour guides, we had a couple of nice lady tour guides, but others either lured us to a very expensive restaurant and ordered something not on the menu, or...

            Show more",1
2058,81511,"Somebody rightly said Kerala is God's own country. We have been all around the world but never experienced anything like Kerala. We had decided on traveling to Kerala quite some time back but were not sure where to go which resort to stay in as all...

            Show more",1
46,167617,"Our Tour Group (AMADEO) w/ Roberto and Steve Cirillo as Tour guides were EXCELLENT & PROFESSIONAL.  It takes only one HORRIBLE experience to ruin the trip. The driver, ARMIN, was so INHUMAN & UN-PROFESSIONAL that the EXCELLENT rating I was going to give...

            Show more",1
49,167617,"The reviews for this tour led me to believe I would have a good time. Unfortunately, this was not the case. To say this tour is not worth your money is an understatement. To start off, the itinerary on the website is incorrect. I know it states that...

            Show more",1
93,82420,"Awful. This company is a rip off. I cancelled my trip in March and still have not received my refund even though I bought insurance. Do not book with Trafalgar. They have told me repeatedly my check is in the mail. Yet I am still without my refund 6...

            Show more",1
94,82420,Conflicting information; poor or no itinerary; lousy hotel - this is not what I paid a premium price for. One of our fellow travelers said he had 15 tours on Trafalgar and this was the worst and last Trafalgar he would ever take. I totally concur!,1
210,198310,"Würde ich nicht mehr mit Ihrer Agentur machen...statt Singleroom bekam ich ein teures Doppelbett-Zimmer und es wurde mir nie auf DEUTSCH erklärt, wie und was meine Leistungen sind....Mit keinem Wort wurde erwähnt, dass ich außer Lunches, die ich ja...

            Show more",1
222,62086,"I don't think she was well trained to listen to her clients....she would cut us off as we asked questions....no sense of mutuality and consultation at all.  There was red alert in Yosemite Valley on the last day of our trip; the alert said that no one...

            Show more",1
293,52323,Not as it was portrayed,1
296,52323,"Just returned from the Grand Alaskan tour booked on line with Cosmos.........after paying an additional $1,300 for balcony suite we were extremely disappointed to board the ship and find out Cosmos had booked us an ocean view room only with the cruise...

            Show more",1
402,241179,"Western Frontiers 5/10/22 – 5/19-22

Let me preface this by stating that this was the fourth time we traveled with Trafalgar but it will most certainly be the last. In 2019 we booked and paid for a trip to Belgium, Netherlands and Luxembourg for April...

            Show more",1
440,167575,Die angegebene Abholadresse auf der Internetseite war falsch! Hätte deswegen fast den Bus verpasst.,1
591,224069,Tour was canceled one month prior. Because of covid but Hawaii is wide open. No refund offered. We were able to book our own vacation but many of the excursions were sold out. Very disappointed in TourRadar.  will never use again,1
609,178142,Very poor communication!!,1
