,Destination_link,Review
0,119449,Awesome experience. The tour was very balanced. Every day we visited a new place and every day was like a new small adventure!
1,119449,"I’ve just had the most amazing 12 days in Sri Lanka! I’m a 29 year old solo traveller and I really didn’t know much about the country before booking. I exchanged a couple of emails with the company before booking with lots of questions and they were...

            Show more"
2,119449,"Best tour I’ve been on by far! (And I’ve done a fair few). Accommodation was incredible, local tour guides were knowledgable and the - all included - activities were well varied. Travel “days” were a few hours at max, so we managed to see and do a huge...

            Show more"
3,119449,"A well organised and fun tour, in an incredible country (despite group leader Ash being a fun sponge most of the time)"
4,119449,"I had the most amazing trip to Sri Lanka. This was my first organised tour and first tour with Intro and I couldn’t have asked for anything more. It was so organised and thought through so you can get the full experience of what Sri Lanka has to offer!...

            Show more"
5,119449,"This whirlwind tour included everything it needed to in order to fully experience the best of Sri Lanka, with a fantastic group of people and enthusiastic group leader who always made sure the entire group was safe and happy. There was such a range of...

            Show more"
6,119449,"10/10 tour in sri lanka, loved every single minute of it. Such a beautiful country with amazing people too! 

10/10 tour guide too! sam was amazing throughout, so helpful, informative and fun. He was made to be a tour guide! 

also, shout out to...

            Show more"
7,119449,The whole experience was amazing. All the activities were excellent and Sam was great throughout. Couldn’t fault anything.
8,119449,"We had the best time on Adele's trip! Adele was the best leader we could possibly ask for, she was great fun but also really knowledgeable about all the places we went to and made us feel really safe and comfortable. The trip was a great mix of chilled...

            Show more"
9,119449,"Where to even begin! 

Our trip to Sri Lanka was immense. 
We had Adele as our group leader & she couldn’t have made us feel anymore welcomed & safe throughout the duration of our trip. 

Adele as our group leader is a fountain of knowledge from the...

            Show more"
10,98680,"The best way to see all the highlights of Sri Lanka. Perfect mix between chill and relaxed beach time and active hikes for the best views and cultural visits. Lots of solo travellers from different countries on the tour who quickly became family. We had...

            Show more"
11,98680,"The tour itself was very varied and super planned. Sumudu has given us a lot of effort to explain everything and always adapt everything to our needs. The bus driver team was also very friendly and courteous. Overall, it was a great trip with hardly...

            Show more"
12,98680,"The tour was a perfect mix of activity with a well thought out itinerary - we were able to experience the best of Sri Lanka in a short amount of time.

Sumudu, our guide, provided insider information about the country and its culture, making the...

            Show more"
13,98680,"We had a great time with our Guide, Sumudu Peiris. Everyday was full of many experience and we saw so many local spots. It was the best decision to travel with this group."
14,98680,"It was a really good tour with a lot of things to see. Our tourguide Sumudu Peiris was really engaged and did a really good job at organizing everything.

I definitely recommend the tour!"
15,98680,"This tour was the most incredible experience, in such an amazing and beautiful country. The tour has absolutely flown by but I have experienced so much. Stunning scenery including beautiful beaches and lush green mountains. We have tried lots of...

            Show more"
16,98680,"My 2 week tour with Sumudu and One Life Adventure was the trip of a lifetime! It was my first time solo travelling and Sumudu and the group made me feel so welcome. Sri Lanka is such a beautiful country and Sumudu’s passion and knowledge was...

            Show more"
17,98680,"Going on this tour was the best decision I’ve ever made. It was perfectly planned and seamless in execution. I couldn’t have asked for a better guide in Sumudu. He knew the best times and places to take us to get the best experience possible. He has a...

            Show more"
18,98680,"This tour is absolutely amazing, I have and will continue to recommend to everyone I know! 
A great mix of culture, cooking, chilling, exploring, hiking etc. I feel I had a true experience of Sri Lanka and explored this beautiful country to it's full...

            Show more"
19,98680,"Das es sich sehr lohnt, da man viel sieht. Aber das Programm ist auch sehr straff."
20,82881,"I'm only giving two stars because the guide and driver were both very kind, but I found that the tour lacked free time. I chose this tour because of the abundance of free time, but I felt obligated to join in activities because no one else on the tour...

            Show more"
21,82881,"The tour was perfect for my needs. Day in Kandy a bit of a muddle and wash out. Hotel to far out of town and no choice for food but the hotel and whilst ok not great. Prefer to Sri Lankan food. Amba estate amazing.
Hotel J in Negombo and Unawatuna...

            Show more"
22,82881,Srilanka was nice and the tour guide was great
23,82881,"Absolutely great! A fabulous introduction to the country with plenty of options to do extra. Great food, great people."
24,82881,"Cham - The guide was the highlight

Great trip and really good value for $

Highly recommended"
25,82881,"Fantastic guide, absolutely put 150% effort in. Very knowledgable and made sure we were all happy. Nothing was too much. Very caring to individual wants/needs. Great tour as a quick insight into a beautiful country"
26,82881,"The whole tour was fantastic. First and last day accomodation, could be better. Substantial but felt like not up to standards (not clean). Aruna was really good. Transparency on Tipping and additional expenses so no surprises especially when youre...

            Show more"
27,82881,A good introduction to Sri Lanka but too much time spent travelling in mini bus.
28,82881,Have already filled in a revue for G Adventures direct.
29,82881,"The unfortunate thing was that we were significantly older than the rest of the group so it was fragmented. The guide did little to socialise and we never had his room number if we needed assistance. The transportation was very good with 11 on the group...

            Show more"
