,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
0,Active Adventure,Sri Lanka Experience," Colombo, Negombo, Sigiriya, Kandy, Ella, Udawalawe National Park, Talalla, Mirissa, Weligama+2 more", 18 to 50 ,"Group, Fully Guided, Explorer, Sightseeing+2 more",INTRO Travel,12 days,1.449,119449
1,Active Adventure,Sri Lanka One Life Adventures - 12 Days," Negombo, Dambulla, Sigiriya, Kandy, Ella, Udawalawe National Park, Mirissa, Hikkaduwa, Galle, Colombo+3 more", 18 to 39 ,"Safari, Local Living, Group, Fully Guided, Christmas & New Year+3 more",One Life Adventures,12 days,1.080,98680
2,Active Adventure,Sri Lanka Express," Negombo, Kandy, Ella, Galle, Udawalawe National Park ", 12 to 90 ,"Group, Fully Guided, In-depth Cultural, Christmas & New Year+2 more",G Adventures,8 days,769,82881
3,In-depth Cultural,Lifetime Experience In Sri Lanka," Negombo, Kurunegala, Dambulla, Sigiriya, Kandy, Nuwara Eliya, Ella, Yala National Park, Hambantota, Mirissa, Galle, Bentota, Colombo+6 more", 1 to 75 ,"Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",BH Lanka Tours ,8 days,863,114320
4,Active Adventure,Grand Tour Of Sri Lanka," Negombo, Anuradhapura, Dambulla, Sigiriya, Polonnaruwa, Mahiyanganaya, Kandy, Kitulgala, Nuwara Eliya, Ella, Yala National Park, Hambantota, Mirissa, Galle, Bentota, Colombo+9 more", 5 to 75 ,"Family, Wildlife, Private, Group, Fully Guided, Christmas & New Year+3 more",BH Lanka Tours ,12 days,1.249,114673
5,Active Adventure,Sri Lanka Uncovered," Negombo, Dambulla, Sigiriya, Kandy, Nuwara Eliya, Ella, Udawalawe National Park, Unawatuna+1 more", 18 to 39 ,"Safari, Wildlife, Private, Group, Fully Guided+2 more",TruTravels,10 days,1.150,137971
6,In-depth Cultural,Best of Sri Lanka," Negombo, Anuradhapura, Polonnaruwa, Dambulla, Sigiriya, Kandy, Bandarawela, Haputale, Udawalawe National Park, Mirissa, Galle, Colombo+5 more", 15 to 99 ,"Active Adventure, Group, Fully Guided, Christmas & New Year+2 more",Intrepid Travel,15 days,1.931,4402
7,In-depth Cultural,Highlights of Sri Lanka," Negombo, Sigiriya, Dambulla, Polonnaruwa, Kandy, Nuwara Eliya, Ella, Yala National Park, Galle, Unawatuna, Colombo+4 more", 18 to 85 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Sunrise Sri Lanka Travels and Tours,8 days,749,187873
8,In-depth Cultural,"sri lanka multi-day tours 5 days with private driver, vehicle and H/B accommodations"," Colombo, Anuradhapura, Polonnaruwa, Habarana, Sigiriya, Dambulla, Kandy, Nuwara Eliya, Pinnawala+2 more", 1 to 99 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Lanka Safe Tours,5 days,545,177836
9,In-depth Cultural,"Colombo, Caves & Kandy - 8 days"," Colombo, Dambulla, Polonnaruwa, Sigiriya, Kandy, Nuwara Eliya, Embilipitiya, Udawalawe National Park+1 more", 18 to 70 ,"Active Adventure, Safari, Wildlife, Group, Fully Guided, Christmas & New Year+4 more",On The Go Tours,8 days,1.058,42065
10,In-depth Cultural,Discover Sri Lanka," Negombo, Anuradhapura, Mihintale, Polonnaruwa, Sigiriya, Dambulla, Kandy, Kitulgala, Adam's Peak/ Sri Pada, Nuwara Eliya, Horton Plains National Park, Ella, Yala National Park, Unawatuna, Galle+8 more", 18 to 80 ,"Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",Sunrise Sri Lanka Travels and Tours,15 days,1.149,137955
11,Wildlife,Wild About Sri Lanka - 10 days," Colombo, Dambulla, Polonnaruwa, Sigiriya, Kandy, Nuwara Eliya, Udawalawe National Park, Yala National Park, Bundala National Park, Mirissa+4 more", 18 to 70 ,"Active Adventure, Safari, Group, Fully Guided, Christmas & New Year+2 more",On The Go Tours,10 days,1.475,78475
12,In-depth Cultural,Sri Lanka: Spice Gardens & Seasides," Negombo, Sigiriya, Kandy, Nuwara Eliya, Ella, Hikkaduwa ", 18 to 39 ,"Active Adventure, Group, Fully Guided+1 more",G Adventures,12 days,720,83491
13,In-depth Cultural,Splendour of Sri Lanka -   ( 8 Days and 7 Nights tour in Sri Lanka )," Colombo, Negombo, Dambulla, Sigiriya, Kandy, Nuwara Eliya, Ella, Yala National Park, Tissamaharama, Mirissa, Galle, Bentota, Hikkaduwa+6 more", 10 to 80 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Beauty Lanka Travels,8 days,863,127611
14,Explorer,Treasures of Sri Lanka : Kandy | Colombo | Nuwara Eliya | Yala | Bentota  (An All Inclusive Tour)," Colombo, Pinnawala, Kandy, Nuwara Eliya, Yala, Bentota ", 5 to 95 ,"Family, Wildlife, Private, Group, Fully Guided, Christmas & New Year+3 more",MTA Destination Experts,7 days,1.362,189443
15,Explorer,Sri Lanka Deluxe Travels," Negombo, Kurunegala, Dambulla, Sigiriya, Matale, Kandy, Nuwara Eliya, Ella, Udawalawe National Park, Hambantota, Mirissa, Galle, Bentota, Colombo+6 more", 1 to 75 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",BH Lanka Tours ,8 days,1.111,198458
16,In-depth Cultural,Glamour Of Sri Lanka," Colombo, Wilpattu National Park, Trincomalee, Sigiriya, Dambulla, Kandy, Nuwara Eliya, Ella, Mirissa, Bentota+4 more", 2 to 75 ,"Family, Wildlife, Private, Fully Guided, Historical, Christmas & New Year+3 more",BH Lanka Tours ,11 days,1.138,126504
17,In-depth Cultural,Sri Lanka Encompassed," Colombo, Negombo, Sigiriya, Kandy, Nuwara Eliya, Ella, Yala National Park, Mirissa, Galle+2 more", 12 to 90 ,"Active Adventure, Group, Fully Guided, Christmas & New Year+2 more",G Adventures,14 days,1.189,46438
18,Explorer,Sri Lanka Family Holiday  (12 Days)," Negombo, Dambulla, Kandy, Bandarawela, Udawalawe National Park, Mirissa, Colombo ", 5 to 99 ,"Family, Wildlife, Group, Fully Guided, Historical, Christmas & New Year+3 more",Intrepid Travel,12 days,1.288,238387
19,In-depth Cultural,Splendour Of Sri Lanka (7 Days) Free Upgrade to Private Tour Available," Colombo, Negombo, Dambulla, Sigiriya, Kandy, Nuwara Eliya, Ella, Yala National Park, Tissamaharama, Mirissa, Galle+4 more", 10 to 80 ,"Family, Private, Group, Partially Guided, Explorer, Christmas & New Year+3 more",Beauty Lanka Travels,7 days,772,111171
20,In-depth Cultural,Essential Sri Lanka," Negombo, Kandy, Ella, Tissamaharama, Yala National Park, Unawatuna, Galle, Colombo+1 more", 18 to 29 ,"Active Adventure, Group, Fully Guided, Christmas & New Year+2 more",Intrepid Travel,11 days,840,82831
21,Explorer,Dream Path Of Sri Lanka," Negombo, Kurunegala, Dambulla, Sigiriya, Polonnaruwa, Kandy, Nuwara Eliya, Ella, Yala, Mirissa, Galle, Bentota, Colombo+5 more", 1 to 75 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",BH Lanka Tours ,10 days,954,119770
22,In-depth Cultural,Sri Lanka 5 Days Tour Package - Private Tour," Colombo, Negombo, Pinnawala, Dambulla, Sigiriya, Kandy, Nuwara Eliya ", 1 to 99 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Holiday Lanka Tours,5 days,251,187946
