,index,Unnamed: 0,Destination_link,Review,Sentiment Score
0,0,0,93960,Had a great week and we were so blessed to have Denali show itself.. Weather was great!,5
1,1,1,93960,Stunning places! Our tour guide was very informative as well as inclusive. This led to a comfortable environment and a more enjoyable time for the whole group.,5
2,2,2,93960,"Our Chief Experience Officer Brianna Collins made our trip so special, memorable, enjoyable, and easy! She had everything planned out perfectly and was very punctual! She had a great attitude, positive energy, sense of humor, and was very professional...

            Show more",5
3,3,3,93960,"Rachel is great, so well organized, patient, no friction at all between her and the group.  The tour was exactly what I expected with regard to activities and pace.  Of course, it was superb that we saw Denali two full days, but it was even a good time...

            Show more",5
4,4,4,93960,"It was awesome. We did alot of different activities, were always on time and met some wonderful people. Brianna was always energetic, immense knowledge of the area and activities.",5
5,5,5,93960,"Alaska has long been on my bucket list, and this trip was everything I hoped for and more. I am coming home inspired to make some major life changes that I have been on the fence about and maybe become a travel guide/host myself. Denali is truly...

            Show more",5
6,6,6,93960,Beautiful part of the world.,5
7,7,7,93960,Great experience and goof tour guide,5
8,8,8,93960,"Alaska was beautiful and our tour guide Rachel was an amazing source of knowledge, a great driver and a great person. She kept the show running so well. All the hotels were great! Would definitely do again!",5
9,9,9,93960,Fabulous Tour in a beautiful place!,5
10,10,10,28314,Tour guide was great. Saw all the main highlights of Southwest USA and and was a very memorable experience.,5
11,11,11,28314,"My wife and I recently did the 7 day Southwest Adventure tour with Bindlestiff. The company provides incredible itineraries and opportunities to see many beautiful places in a short amount of time. Our guide (John Harris) was tremendous. I cannot...

            Show more",5
12,12,12,28314,"Our tour and tour guide was managed through Bindlestiff Tours out of Las Vegas. It was a 7-day excursion starting in Zion, then Bryce, Canyonlands, Arches, Moment Valley and ending in the Grand Canyon. There were 12 of us driven around in a small van...

            Show more",5
13,13,13,28314,"Great itinerary that you can't really go wrong with - the national parks were fantastic and we felt satisfied with the time spent in each. Annie our guide was wonderful - tirelessly helpful and informative and real fun to be around. Loved every minute...

            Show more",5
14,14,14,28314,"Excellent guide!  Great and busy schedule, it allowed to get the most out of all the sites.
The size of the group, 10, was perfect, it allowed us to get to know each other and we all got along great",5
15,15,15,28314,Overall it was a good experience. We were able to see a lot of places in a weeks time. My only complaint is that the company seemed to lack a protocol for COVID positive cases on the trip. People were left in different towns that we were at.,4
16,16,16,28314,Had a great time. Stayed busy and active.,5
17,17,17,28314,"This tour, that my husband and my brother and his wife took with with us, was amazing!  Our guide, Chris P, was knowledgeable, flexible and engaging and he ensured that everyone was taken care of. He suggested activities for us that added value to the...

            Show more",5
18,18,18,28314,"Fantastic experience!
I took the 7-day camping tour to Utah national parks and Grand Canyon with Chris as my tour guide. It was my first time camping, Chris was very helpful at walking me through the process of setting up and disassembling the tent. By...

            Show more",5
19,19,19,28314,"Amazing tour!
This tour is great! The best trip I have ever had. The tour was well organized and our Guide Joe is very responsible and knowledgeable. I highly recommend it if you love hiking and meet new friends",5
20,20,20,86015,"Awesome trip!! I did the 7 day Southwest tour and I’d do it again in a heartbeat. The most amazing views I’ve seen in my life. Can’t wait for my next trip with Bindlestiff, they did an amazing job.",5
21,21,21,86015,"Recommending this trip to the World
""First of all a big thank you to Joe & Chris, you guys are just great spirits with amazing kind souls  and positive energy (and amazing Professionals that love your job-you  set the bar at the highest level in your...

            Show more",5
22,22,22,86015,Had a great time on my tour.,5
23,23,23,86015,"Excellent trip, we saw everything we wanted to see. 
Our guides, John and Chloe were wonderful. So well  organized, knowledgeable about every place we visited, and very helpful. 
We will definitely recommend this tour to everyone.",5
24,24,24,86015,"Excellent trip. Guide, John was knowledgeable, efficient, timely, good driver. 
The parks were amazing.  Definitely worth the money",5
25,25,25,86015,Our Tour guide was excellent. The scenery was breathtaking,5
26,26,26,86015,"Once in a lifetime trip
""What an amazing trip! So much to see in 7 days. Joe was a fantastic guide and told us so much about the various places/areas we visited. Everyone was able to chose their hikes depending on how physically fit each person was. Joe...

            Show more",5
27,27,27,86015,"Need more time to shop.  We had a group from Trinidad who spoke with an accent.  Perhaps it would be good to wear nametags for a few days.  Our tour guide, Haley, was excellent.",3
28,28,28,86015,"Chris Patrick was an absolute pleasure with all his knowledge, flexibility and humor. We would highly recommend this trip for all ages and abilities.",5
29,29,29,86015,"Great nature, okay accommodation, good guide.",4
30,30,30,176373,"This experience surpassed my expectations and our guide Shadrach was a large part of this. His knowledge, inclusiveness and calm demeanour ensured that everyone had a wonderful experience. Note for G Adventures:",5
31,31,31,176373,"The tour is good, there were a few days of tight schedules but the rest are not too bad.",4
32,32,32,176373,Camping and hiking through Utah National Parks is a fantastic life experience! The scenery is amazing and fellow hikers have a passion for challenge!,5
33,33,33,176373,"Amazing tour! If Shad is your tour guide, you are beyond lucky. The people, the camping, the food, everything was great. I would definitely do this again.",5
34,34,34,176373,"Hiking Utah&#39;s Big 5 was an incredible adventure. The hikes were challenging and the days were packed with activity. Every park was unique and remarkable, and completing everything set out in this itinerary was a great accomplishment. Our group was...

            Show more",5
35,35,35,176373,"This trip was the trifecta for me: awesome group, guide and location! 10/10 would poop in front of all of them, that&#39;s how&#39;s comfortable we all were with each other",5
36,36,36,176373,"Loved this trip, got to meet some awesome people and even got to do some hikes that weren't on the itinerary but were on my bucket list. All in all I couldn't of asked for a better trip",5
37,37,37,176373,"Every step was worth the effort, from beginning to end. The vistas in Utah are magnificent - no better way to be awed by them than to hike them.",5
38,38,38,176373,"I could sum up my overall experience in Utah in the beautiful words of Budda - ""....don&#39;t live your life impressing others, live your life impressing yourself""",4
39,39,39,176373,This was my first trip with G adventures and I think I would like to do another trip maybe next year. I would not do camping in such hot weather again. But this is just me.,5
40,40,40,167617,Excellent! Very enjoyable and highly recommended!,5
41,41,41,167617,"My 5 day wild west tour was relatively ok. I feel like there were alot of positive aspects of the tour but other things that could be improved. Both tour guides Pascuale and Giovanni had were responsible and very informative. The bus driver, Sam, was...

            Show more",3
42,42,42,167617,"The pick up point was a whole city block. Good idea if it was marked what location to wait.
In Vegas they switch our hotel from Harrah to some other hotel. Not nice.
In Modesto the hotel was old, bathroom door wouldn't lock. Carpet was tread bare.
We...

            Show more",2
43,43,43,167617,"We travelled to America to experience California expecting an American guide and our first guide was Italian with little English or insight into the places we were to see.
A lack of any sort of introduction or welcome by Roberto meant the tour group...

            Show more",3
44,44,44,167617,"Overall, we had a great experience. This was our first bus tour, and our main tour guide, Roberto, was wonderful! He was very communicative and helpful. He fully explained where we were going and what we were doing and answered any and all questions,...

            Show more",5
45,45,45,167617,"We had an issue with Jaco, He was our final driver home from Vegas to LA he drove extremely fast he almost went off the road once because his hands were moving all over he ate the whole time which is fine but we had 30 minutes for lunch and he ate his...

            Show more",4
46,46,46,167617,"Our Tour Group (AMADEO) w/ Roberto and Steve Cirillo as Tour guides were EXCELLENT & PROFESSIONAL.  It takes only one HORRIBLE experience to ruin the trip. The driver, ARMIN, was so INHUMAN & UN-PROFESSIONAL that the EXCELLENT rating I was going to give...

            Show more",1
47,47,47,167617,"Roberto, Brenda, Paula, George and Jacob were all fantastic people to go on the tour with!! They went above and beyond to make sure we were comfortable on the trip.",5
48,48,48,167617,"Over all it's good. But I like to mention about these 3 points 
1.) I wish the bus seating is more luxurious so that one can sleep while traveling to places 
2.) Tour radar did not mention in detail what winter itinerary and summer itinerary difference....

            Show more",3
49,49,49,167617,"The reviews for this tour led me to believe I would have a good time. Unfortunately, this was not the case. To say this tour is not worth your money is an understatement. To start off, the itinerary on the website is incorrect. I know it states that...

            Show more",1
50,50,50,104091,"While it's a bit of a whirlwind tour of Utah, the trip is well planned and well spaced. Our guide Robin was very amicable and knowledgeable and made the trip a breeze. We got a good taste of all the various national parks we visited even though it had...

            Show more",4
51,51,51,104091,Fantastic guide and parks,5
52,52,52,104091,"We had a 5 star experience on our ""Mighty 5"" adventure. I recommend you rename the tour the ""Mighty 6"" because of the great Tour Director, Mike, who did an amazing job with his knowledge, patience,and problem solving issues with park schedules.  Mike is...

            Show more",5
53,53,53,104091,"Wonderful tour of beautiful parks reasonably priced.  Our guide, Mike K., was a wealth of information!",5
54,54,54,104091,"An excellent adventure! We had a great guide, and met many nice people on the tour!",5
55,55,55,104091,"Southwest Tours delivered exactly what was promised in the tour description. Our guide / driver, Kendell Champion (""Champ""), did a great job to make sure we cover the tour destination while also incorporating some interesting additions like night sky...

            Show more",5
56,56,56,104091,"Wonderful trip, guide, and group!!",5
57,57,57,104091,"The trip was well conducted. Ms. Hardee was exceptional as a guide. She was knowledgeable about the locations, the history, geology, etc. and made the narrations very enjoyable and informative. She took very good care of everyone in the party.",4
58,58,58,104091,"This tour, especially in off season at the National Parks was magical. Awesome, knowledgeable, flexible tour guide and the best co-adventurers I could have asked for!",5
59,59,59,104091,"We were only on the trip one day due to an illness.  The Tour leader was nice and knowledgeable and the other attendees nice.  The bus we got was too small for our party both for storage and seat size. I understand  a larger better bus was being...

            Show more",2
60,60,60,167770,"Wir waren eine kleine Gruppe
Die Organisation war gut
Die Unterkünfte auch
Es wurde viel Trinkwasser verteilt
Die...

            Show more",3
61,61,61,167770,"War sehr überrascht als ich erfuhr, dass ich nicht an einem, sondern an zewi Touren teilnehmen würde.
DAS PRGRAMM IST...

            Show more",5
62,62,62,167770,"Excellent tour stops and well worth the views. Plentiful bathroom and snack breaks, but the bus ride is long. However you cover 4 wonderful states, a drive I'd never do on my own.  Edwardo was excellent tour guide and Roberto was nice but not as...

            Show more",4
63,63,63,167770,"The places we visited were incredible and I wouldn’t have been able to see it all of it weren’t for the set up of the guided tours. However I do think a few things could have been different to make it more enjoyable. 

Most of our stops were very quick...

            Show more",4
64,64,64,167770,"Pros:
- You cover a lot of ground in this tour, and see some really varied and beautiful landscapes, ranging from coastal/beach, to canyons, to desert. 
- There are lots of stops which give you enough time to hop out and explore the different towns or...

            Show more",4
65,65,65,161844,"It was an awesome tour. Saw and did so much. I would recommend Trafalgar to tour with. We are booked next year for The Colorful Trails of the SW in September. I want to say our tour director,Tyler Browning, is one of the best guides we have had. He is...

            Show more",5
66,66,66,161844,This was an excellent experience,5
