,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
0,Active Adventure,Alaska Kenai & Denali Adventure," Anchorage, Seward, Talkeetna, Denali National Park ", 12 to 90 ,"Group, Fully Guided",G Adventures,8 days,"2,079",93960
1,Explorer,7 Day Southwest National Parks Grand Canyon Camping Tour," Las Vegas, Zion National Park, Bryce Canyon National Park, Canyonlands National Park, Arches National Park, Monument Valley, Antelope Canyon, Page, Grand Canyon National Park+6 more", 7 to 99 ,"Active Adventure, Family, Camping, Mountain Hikes, Private, Group, Fully Guided, Hiking & Trekking+5 more",Bindlestiff Tours,7 days,"1,695",28314
2,Explorer,7 day Southwest National Parks Grand Canyon Tour," Las Vegas, Zion National Park, Bryce Canyon National Park, Arches National Park, Canyonlands National Park, Monument Valley, Antelope Canyon, Grand Canyon National Park+5 more", 7 to 99 ,"Family, Mountain Hikes, Private, Group, Fully Guided, Hiking & Trekking+4 more",Bindlestiff Tours,7 days,"2,460",86015
3,Hiking & Trekking,Hiking Utah's Big 5," Las Vegas, Bryce Canyon National Park, Moab, Arches National Park, Canyonlands National Park, Capitol Reef National Park, Zion National Park+3 more", 12 to 90 ,"Active Adventure, Camping, Group, Fully Guided, Explorer+2 more",G Adventures,9 days,"1,599",176373
4,In-depth Cultural,Wild West – 5 days," Los Angeles, Santa Barbara, Carmel, San Francisco, Yosemite National Park, Barstow, Las Vegas+2 more", 1 to 99 ,"Active Adventure, Family, Wildlife, Private, Group, Fully Guided, Explorer, Christmas & New Year+6 more",Amadeo,5 days,895,167617
5,Explorer,Mighty 5 From Las Vegas," Las Vegas, Zion National Park, Cedar City, Canyonlands National Park, Moab, Arches National Park, Capitol Reef National Park, Torrey, Bryce Canyon National Park+4 more", 8 to 100 ,"Family, Group, Fully Guided, Hiking & Trekking, Christmas & New Year+3 more",Southwest Adventure Tours,5 days,"1,699",104091
6,Explorer,Magnificent West - 7 Days," San Francisco, Modesto, Yosemite National Park, Las Vegas, Sedona, Monument Valley, Grand Canyon National Park, Zion National Park, Valley of Fire State Park+4 more", 1 to 99 ,"Active Adventure, Family, Cultural Photography, Private, Group, Fully Guided, Christmas & New Year+5 more",Amadeo,7 days,"1,395",167770
7,Active Adventure,Majestic Alaska (10 Days)," Anchorage, Denali National Park, Fairbanks, Valdez, Seward, Kenai ", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Sailing, Historical+4 more",Trafalgar,10 days,"3,815",161844
8,Active Adventure,Mighty 5 From Salt Lake City," Salt Lake City, Canyonlands National Park, Moab, Arches National Park, Capitol Reef National Park, Torrey, Boulder, Bryce Canyon National Park, Zion National Park+5 more", 8 to 100 ,"Family, Group, Fully Guided, Hiking & Trekking, Christmas & New Year+3 more",Southwest Adventure Tours,8 days,"2,999",104089
9,Active Adventure,Utah Parks Circuit," Las Vegas, Zion National Park, Monument Valley, Moab, Bryce Canyon National Park+1 more", 15 to 99 ,"Group, Fully Guided",Intrepid Travel,8 days,"1,841",62087
10,Explorer,Hawaiian Explorer (8 Days)," Honolulu, Waikiki, Pearl Harbor, Hawaii Volcanoes National Park, Kaanapali, Maui+1 more", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus+2 more",Trafalgar,8 days,"3,168",82420
11,Explorer,Western USA National Parks Loop," Las Vegas, Zion National Park, Bryce Canyon National Park, Page, Monument Valley, Grand Canyon National Park+2 more", 15 to 99 ,"Group, Fully Guided, Hiking & Trekking+1 more",Intrepid Travel,5 days,"1,776",218158
12,Explorer,5 Days Yellowstone and Grand Tetons National Park Adventure," Salt Lake City, Grand Teton National Park, Yellowstone National Park ", 18 to 60 ,"Group, Partially Guided",Bucket List Group Travel LLC,5 days,"2,590",204277
13,In-depth Cultural,"Jewels of Alaska (Classic, 7 Days)"," Anchorage, Talkeetna, Denali National Park, Alyeska, Prince William Sound, Seward+1 more", 5 to 99 ,"Family, Group, Fully Guided, Explorer+2 more",Insight Vacations,7 days,"3,461",90265
14,Explorer,"LA to the Bay (Summer, 11 Days)"," Los Angeles, San Diego, Phoenix, Sedona, Grand Canyon National Park, Seligman, Las Vegas, Bass Lake, Yosemite National Park, San Francisco+4 more", 18 to 35 ,"Group, Fully Guided, Coach / Bus+1 more",Contiki,11 days,"2,342",90721
15,Explorer,National Parks Tour 3 Days Small Group Tour from Las Vegas," Las Vegas, Zion National Park, Bryce Canyon National Park, Antelope Canyon, Monument Valley, Grand Canyon National Park+2 more", 7 to 99 ,"Active Adventure, Family, Camping, Private, Group, Fully Guided, Hiking & Trekking+4 more",Bindlestiff Tours,3 days,775,28322
16,Explorer,Best of Yellowstone & Grand Teton," Jackson, Grand Teton National Park, Yellowstone National Park ", 12 to 90 ,"Group, Fully Guided, Hiking & Trekking+1 more",G Adventures,7 days,"3,039",210158
17,Explorer,Yellowstone & Rocky Mountain Explorer," Las Vegas, Bryce Canyon National Park, Salt Lake City, Grand Teton National Park, Yellowstone National Park+2 more", 7 to 99 ,"Family, Camping, Mountain Hikes, Private, Group, Fully Guided+4 more",Bindlestiff Tours,7 days,"1,695",65363
18,Explorer,3 Day Southwest USA National Parks Tour from Las Vegas," Las Vegas, Zion National Park, Bryce Canyon National Park, Antelope Canyon, Monument Valley, Grand Canyon National Park+2 more", 7 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided, Hiking & Trekking+3 more",Bindlestiff Tours,3 days,"1,050",106355
19,Explorer,California National Park Discovery," Las Vegas, Death Valley National Park, Bakersfield, Sequoia National Park, Yosemite National Park, San Francisco+2 more", 12 to 90 ,"Group, Fully Guided, Hiking & Trekking+1 more",G Adventures,7 days,"1,889",222592
20,Hiking & Trekking,"Hiking Sequoia, Kings Canyon, and Yosemite"," Las Vegas, Sequoia National Park, Kings Canyon National Park, Yosemite National Park, San Francisco+2 more", 12 to 99 ,"Active Adventure, Camping, Group, Fully Guided, Explorer+2 more",G Adventures,8 days,"1,399",177100
