,Destination_link,Review
0,93960,Had a great week and we were so blessed to have Denali show itself.. Weather was great!
1,93960,Stunning places! Our tour guide was very informative as well as inclusive. This led to a comfortable environment and a more enjoyable time for the whole group.
2,93960,"Our Chief Experience Officer Brianna Collins made our trip so special, memorable, enjoyable, and easy! She had everything planned out perfectly and was very punctual! She had a great attitude, positive energy, sense of humor, and was very professional...

            Show more"
3,93960,"Rachel is great, so well organized, patient, no friction at all between her and the group.  The tour was exactly what I expected with regard to activities and pace.  Of course, it was superb that we saw Denali two full days, but it was even a good time...

            Show more"
4,93960,"It was awesome. We did alot of different activities, were always on time and met some wonderful people. Brianna was always energetic, immense knowledge of the area and activities."
5,93960,"Alaska has long been on my bucket list, and this trip was everything I hoped for and more. I am coming home inspired to make some major life changes that I have been on the fence about and maybe become a travel guide/host myself. Denali is truly...

            Show more"
6,93960,Beautiful part of the world.
7,93960,Great experience and goof tour guide
8,93960,"Alaska was beautiful and our tour guide Rachel was an amazing source of knowledge, a great driver and a great person. She kept the show running so well. All the hotels were great! Would definitely do again!"
9,93960,Fabulous Tour in a beautiful place!
10,28314,Tour guide was great. Saw all the main highlights of Southwest USA and and was a very memorable experience.
11,28314,"My wife and I recently did the 7 day Southwest Adventure tour with Bindlestiff. The company provides incredible itineraries and opportunities to see many beautiful places in a short amount of time. Our guide (John Harris) was tremendous. I cannot...

            Show more"
12,28314,"Our tour and tour guide was managed through Bindlestiff Tours out of Las Vegas. It was a 7-day excursion starting in Zion, then Bryce, Canyonlands, Arches, Moment Valley and ending in the Grand Canyon. There were 12 of us driven around in a small van...

            Show more"
13,28314,"Great itinerary that you can't really go wrong with - the national parks were fantastic and we felt satisfied with the time spent in each. Annie our guide was wonderful - tirelessly helpful and informative and real fun to be around. Loved every minute...

            Show more"
14,28314,"Excellent guide!  Great and busy schedule, it allowed to get the most out of all the sites.
The size of the group, 10, was perfect, it allowed us to get to know each other and we all got along great"
15,28314,Overall it was a good experience. We were able to see a lot of places in a weeks time. My only complaint is that the company seemed to lack a protocol for COVID positive cases on the trip. People were left in different towns that we were at.
16,28314,Had a great time. Stayed busy and active.
17,28314,"This tour, that my husband and my brother and his wife took with with us, was amazing!  Our guide, Chris P, was knowledgeable, flexible and engaging and he ensured that everyone was taken care of. He suggested activities for us that added value to the...

            Show more"
18,28314,"Fantastic experience!
I took the 7-day camping tour to Utah national parks and Grand Canyon with Chris as my tour guide. It was my first time camping, Chris was very helpful at walking me through the process of setting up and disassembling the tent. By...

            Show more"
19,28314,"Amazing tour!
This tour is great! The best trip I have ever had. The tour was well organized and our Guide Joe is very responsible and knowledgeable. I highly recommend it if you love hiking and meet new friends"
20,86015,"Awesome trip!! I did the 7 day Southwest tour and I’d do it again in a heartbeat. The most amazing views I’ve seen in my life. Can’t wait for my next trip with Bindlestiff, they did an amazing job."
21,86015,"Recommending this trip to the World
""First of all a big thank you to Joe & Chris, you guys are just great spirits with amazing kind souls  and positive energy (and amazing Professionals that love your job-you  set the bar at the highest level in your...

            Show more"
22,86015,Had a great time on my tour.
