,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
0,In-depth Cultural,Scenic Norway," Oslo, Heddal, Rjukan, Hardangervidda National Park, Bergen, Voss, Naeroyfjord, Sognefjord, Fjaerland, Loen, Geiranger, Dalsnibba Mountain, Lom, Lillehammer, Eidsvoll Verk+8 more", 8 to 80 ,"Boat, Active Adventure, Family, Private, Group, Fully Guided, Explorer, Coach / Bus, Sightseeing+6 more",Globus,10 days,"3,269",129511
1,Hiking & Trekking,Norway Fjord Trekking," Bergen, Odda, Folgefonna National Park ", 15 to 99 ,"Active Adventure, Family, Group, Fully Guided, Explorer, Sightseeing+3 more",G Adventures,7 days,"2,749",115430
2,Explorer,Magic of the Fjords - 7 days," Bergen, Balestrand, Fjaerland, Flam, Myrdal, Oslo ", 18 to 70 ,"Group, Fully Guided, Sightseeing+1 more",On The Go Tours,7 days,"1,515",92539
3,Explorer,Magical Fjord Adventure," Oslo, Myrdal, Flam, Balestrand, Bergen ", 12 to 80 ,"Family, Self-Guided, Independent+1 more",V.O.S – Vision of Scandinavia,7 days,"1,118",226351
4,Explorer,"Norwegian Fjords, Charm & Traditions"," Oslo, Geilo, Flam, Voss, Bergen, Jostedalsbreen National Park, Loen, Geiranger, Molde, Oppdal, Lillehammer+3 more", 12 to 75 ,"Family, Group, Partially Guided+1 more",V.O.S – Vision of Scandinavia,8 days,"1,509",226242
5,In-depth Cultural,Norwegian Fjords," Oslo, Kristiansand, Stavanger, Bergen, Sognefjord, Loen, Lom, Lillehammer, Hamar ", 5 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Coach / Bus+3 more",Cosmos,11 days,"2,419",130457
6,In-depth Cultural,Best of Norway (9 Days)," Oslo, Geilo, Hardangervidda National Park, Bergen, Voss, Sognefjord, Geiranger, Lom, Lillehammer+2 more", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Coach / Bus, Sightseeing+4 more",Trafalgar,9 days,"2,723",103091
7,Explorer,"Fjords, Charms & Traditions - 8 days"," Oslo, Geilo, Lofthus, Bergen, Balestrand, Loen, Geiranger, Oppdal ", 18 to 70 ,"Private, Independent, Historical+1 more",On The Go Tours,8 days,"1,775",218490
8,Hiking & Trekking,Jotunheimen's Peaks & Lakes (Self-guided Walking Tour)," Oslo, Bygdin ", 12 to 70 ,"Family, Self-Guided, Independent+1 more",Traventuria,6 days,"1,468",215535
9,Explorer,Northern Norway Explorer," Oslo, Trondheim, Bodo, Lofoten, Tromso ", 15 to 99 ,"Active Adventure, Family, Arctic, Northern Lights, Group, Fully Guided, Sightseeing+4 more",Intrepid Travel,8 days,"3,965",126471
10,Explorer,Norway in a Nutshell," Oslo, Bergen ", 6 to 65 ,"Self-Guided, Private, Independent, Christmas & New Year+2 more",WiseYatra,5 days,"1,278",237122
11,Explorer,6-Day Scenic Sognefjord of Norway," Oslo, Myrdal, Balestrand, Bergen ", 3 to 80 ,"Private, Fully Guided",Agate Travel,6 days,"7,699",238574
12,In-depth Cultural,4 days in charming Alesund," Alesund, Geiranger ", 5 to 80 ,"Active Adventure, Family, Romantic, Private, Fully Guided, Christmas & New Year+4 more",Uniktur,4 days,"1,182",132527
13,Explorer,Tromsö & Alta: Arctic Northern Lights - 5 days," Tromso, Alta ", 3 to 99 ,Family,Receptivo Aborigen Tours,5 days,"8,469",213783
14,In-depth Cultural,Highlights of Norway  (Oslo to Bergen)," Oslo, Flam, Loen, Geiranger, Bergen ", 5 to 99 ,"Family, Group, Fully Guided, Historical+2 more",Collette,9 days,"3,249",216971
15,Explorer,Magic of the Fjords," Bergen, Sognefjord, Balestrand, Flam, Myrdal, Oslo ", 12 to 80 ,"Family, Group, Partially Guided+1 more",V.O.S – Vision of Scandinavia,7 days,"1,312",166254
16,Explorer,"Norwegian Fjords, Charm and Traditions"," Oslo, Voss, Bergen, Loen, Molde, Oppdal ", 1 to 70 ,Group,V.O.S – Vision of Scandinavia,8 days,"1,509",234721
17,Explorer,Norwegian Fjords Escape with Northern Lights," Oslo, Gol, Flam, Naeroyfjord, Bergen, Tromso ", 5 to 80 ,"Northern Lights, Group, Fully Guided+1 more",Globus,10 days,"2,389",232640
18,Explorer,Norwegian Fjords Escape with Northern Lights," Oslo, Gol, Flam, Naeroyfjord, Bergen, Tromso ", 5 to 80 ,"Group, Fully Guided",Globus,10 days,"2,369",232643
19,Explorer,Norwegian Fjords Escape," Oslo, Gol, Flam, Naeroyfjord, Bergen ", 5 to 80 ,"Group, Fully Guided, Coach / Bus+1 more",Globus,7 days,"1,599",232637
20,In-depth Cultural,Norway: Fjords and Glaciers," Oslo, Ulvik, Gol, Eidfjord, Voss, Sogndal, Myrdal, Loen, Stryn, Geiranger, Leikanger, Vik, Bergen+2 more", 13 to 80 ,"Family, Historical",Blue-Roads Touring,9 days,"3,269",231574
21,Explorer,Beautiful Norway," Oslo, Lillehammer, Lom, Geiranger, Flam, Bergen ", 6 to 80 ,"Family, Group, Partially Guided+1 more",50 Degrees North,8 days,"2,524",223947
22,Explorer,K401 NATURAL WONDERS OF NORWAY," Oslo, Lillehammer, Molde, Nordfjordeid, Bergen ", 8 to 85 ,Group,Kompas,8 days,"2,359",236678
23,Active Adventure,Beautiful Norway Hike," Oslo, Otta, Lom, Flam, Bergen ", 1 to 100 ,"Family, Self-Guided, Partially Guided+1 more",50 Degrees North,8 days,"2,385",224013
24,Active Adventure,Chasing the Northern Lights in Norway," Lofoten, Svolvær, Tromso ", 3 to 80 ,"Private, Fully Guided, Christmas & New Year+1 more",Agate Travel,5 days,"3,919",238643
25,Explorer,Western Fjords of Norway," Bergen, Loen, Alesund ", 1 to 100 ,"Family, Group, Partially Guided+1 more",50 Degrees North,8 days,"2,371",223970
26,Active Adventure,Western Fjords Hike," Bergen, Loen, Alesund ", 1 to 100 ,Family,50 Degrees North,9 days,"3,383",224014
27,Explorer,Vision of the Fjords by Train," Oslo, Flam, Bergen ", 12 to 80 ,"Family, Group, Partially Guided, Train & Rail+2 more",V.O.S – Vision of Scandinavia,7 days,"1,118",160128
28,Ocean Cruise,Norway Fjords and Northern Lights (8 Days)," Oslo, Tromso, Honningsvag, Kirkenes ", 18 to 35 ,"Arctic, Group, Fully Guided, Explorer+2 more",Contiki,8 days,"1,979",221329
29,Explorer,Scenic Norway Tour," Alesund, Andalsnes, Kristiansund, Trondheim ", 1 to 100 ,"Family, Group, Partially Guided+1 more",50 Degrees North,7 days,"2,594",223972
30,In-depth Cultural,Highlights of Scandinavia (12 Days),"enmark, Norway, Sweden", 5 to 80 ,"Family, Private, Group, Fully Guided, Explorer, Coach / Bus+3 more",Costsaver,12 days,"1,913",83034
31,,Arctic Dreams Norway," Tromso, Lyngseidet ", 8 to 70 ,"Active Adventure, Family, Northern Lights, Private, Group, Partially Guided, Explorer, Sightseeing, Christmas & New Year+7 more",Nordiva Tours,5 days,"2,785",136606
32,Explorer,Follow Hollywood Celebrities on the Norwegian Fjords," Alesund, Molde, Ørsta, Hellesylt, Geiranger, Andalsnes ", 1 to 90 ,"Family, Private, Fully Guided+1 more",Uniktur,7 days,"3,224",185365
33,In-depth Cultural,Visit Fjords in Blooming Spring," Alesund, Molde, Geiranger, Hellesylt ", 5 to 90 ,"Active Adventure, Family, Private, Fully Guided, Sightseeing+2 more",Uniktur,6 days,"2,850",176972
34,Explorer,Beautiful Norway Reverse," Bergen, Flam, Lom, Geiranger, Lillehammer, Oslo ", 1 to 100 ,"Family, Group, Partially Guided+1 more",50 Degrees North,9 days,"3,228",223977
35,Active Adventure,Scenic Norway Hiking Tour," Alesund, Andalsnes ", 1 to 100 ,Family,50 Degrees North,6 days,"2,635",224018
36,In-depth Cultural,Highlights of Norway  (Oslo to Bergen) (Standard)," Oslo, Flam, Loen, Geiranger, Bergen ", 5 to 99 ,"Family, Group, Fully Guided, Historical+2 more",Collette,9 days,"2,999",216881
37,Explorer,The North Cape Express - Half Voyage (from Bergen to Tromso)," Bergen, Molde, Kristiansund, Rørvik, Lødingen, Alta, Honningsvag, Tromso ", 6 to 90 ,"Polar, Arctic, Northern Lights, Group, Fully Guided, Ocean Cruise+4 more",Hurtigruten,10 days,"2,752",238516
38,Explorer,Arctic Circle and Norway’s Capital," Tromso, Stokmarknes, Svolvær, Bronnoysund, Alesund, Hardangervidda National Park, Haugesund, Farsund, Kristiansand, Oslo+5 more", 6 to 90 ,"Polar, Arctic, Group, Fully Guided, Ocean Cruise+2 more",Hurtigruten,7 days,"2,752",238515
