,Destination_link,Review
0,129511,"Norway was beautiful! The Guide and driver were excellent. This was our first bus tour. Moving nightly was a bit much, but each hotel was unique and the food was excellent except for one optional tour."
1,129511,Excellent thanks for the memories!!!
2,129511,"A very good and enjoyable tour led by an excellent guide (Peter) whose quiet informative and often humorous style was a key plus for our holiday. Also excellent was the driver Maciek and his coach - a very smooth journey up and down fjords, mountains...

            Show more"
3,129511,The trip itself is amazing: covers the most beautiful places!
4,129511,"Our tour guide, Øivind, could not have been better. He was very knowledgeable and very organized.  Accommodations were top notch.  Food was fantastic: buffet breakfasts and either 3 course meal or buffet dinner.  Sites were incredible.  Highly recommend...

            Show more"
5,129511,"Communication excellent.

Lovely trip."
6,129511,Fantastic tour!! We had rain in the beginning and end but that could not be helped. Would love to go on another Globus tour of Norway!!
7,129511,"On the go, but we enjoyed sumptuous buffet breakfasts and dinners, fjord fests, gushing waterfalls, historic stave churches plus courteous, obliging Norwegian people. I recommend this tour."
8,129511,"Found the guide to be very organized, on schedule and knowledgeable. He worked hard keeping everyone happy. I don’t see how anyone could of done better.
The hotels were overall pretty good. Food fantastic. Driver very good too.
Only thing I would...

            Show more"
9,129511,"Excellent tour guide, lovely scenery. Felt well looked after."
10,115430,"Great adventure, well organized"
11,115430,Would love options for hotel and clear explanation of itinerary options. Was very confusing and we probably missed on few experiences. The rest was good.
12,115430,"The tour itself was great, but the description of the tour at the time of purchasing lacked a lot of important organizational details about schedule, accommodations etc. General expectations set in the initial description had to go through  a great deal...

            Show more"
13,115430,"Well organised, a great guide and a well-chosen itinerary. Highly recommend."
14,115430,Everything was organized and the views from this trip was amazing!
15,115430,"The trip was very well organized and the experience of the guide made the hikes very enjoyable and safe.

I really enjoyed the hikes and the trip but it would have been great to chose an alternative for the glacier hike."
16,115430,They could fix some of the subcontracting relationships to give greater transparency on pricing as some things were not clear if they were included or not
17,115430,"I LOVED this tour!! It was pricey but that's just what Norway costs. We did four hikes in total throughout the trip and they all had different challenges and amazing scenery, and they were well spaced with a rest day before the final Trolltunga hike....

            Show more"
18,115430,Great trip! No further comments
19,92539,you have a lot of free time which was great because I loved the mixture between being in group and self discovery
20,92539,"We had a great balance of guided tour and free time to explore.  The weather was with us and Norway is simply gorgeous.  Our VOS guide, Marina, was fabulous."
21,92539,"This tour delivers on the scenery at an affordable cost.  Accommodations are good. Outstanding breakfasts at Clarion hotels. Good dinners in Balestrand.  Using public boat transportation to Balestrand is less than ideal when going Bergen to Oslo route...

            Show more"
22,92539,"We arranged this tour on the basis it was an guided tour, as advertised. When we arrived we were the only two and had to self-guide all the way. However all vouchers and arrangements were good and we moved from place to place easily enough. Felt the...

            Show more"
